VEHICLE_ID,EVENT_NO_TRIP,EVENT_NO_STOP,ACT_TIME,GPS_LATITUDE,GPS_LONGITUDE,METERS,OPD_DATE,GPS_SATELLITES,GPS_HDOP
3232,244351117,244351122,30270,45.581878,-122.724508,98641,24JAN2023:00:00:00,12.0,0.9
3232,244351117,244351174,32903,45.492315,-122.673052,113050,24JAN2023:00:00:00,12.0,0.8
3232,244351117,244351177,33048,45.484742,-122.675113,113933,24JAN2023:00:00:00,12.0,0.7
3232,244351226,244351231,36465,45.363945,-122.610517,134476,24JAN2023:00:00:00,11.0,1.1
3232,244351334,244351397,45180,45.477372,-122.672255,184477,24JAN2023:00:00:00,12.0,0.7
3232,244351448,244351459,48660,45.377547,-122.633885,206557,24JAN2023:00:00:00,12.0,0.8
3232,244351334,244351401,45385,45.467482,-122.670262,185594,24JAN2023:00:00:00,11.0,0.8
3232,244351448,244351518,51617,45.528712,-122.665875,226922,24JAN2023:00:00:00,10.0,0.8
3232,244351448,244351519,51712,45.530475,-122.66805,227215,24JAN2023:00:00:00,9.0,1.0
3232,244351448,244351525,52073,45.55711,-122.693242,230949,24JAN2023:00:00:00,12.0,0.8
3232,244351552,244351591,55616,45.521633,-122.67608,248580,24JAN2023:00:00:00,11.0,1.1
3232,244351552,244351598,56240,45.51075,-122.681793,249857,24JAN2023:00:00:00,10.0,0.8
3232,244351668,244351682,60790,45.379335,-122.635978,276459,24JAN2023:00:00:00,12.0,0.7
3232,244351552,244351591,55656,45.51993,-122.677078,248784,24JAN2023:00:00:00,12.0,1.0
3232,244351668,244351691,61103,45.403025,-122.658632,279615,24JAN2023:00:00:00,12.0,0.7
3232,244351668,244351689,61043,45.399602,-122.654767,279135,24JAN2023:00:00:00,12.0,0.7
3232,244351772,244351806,67392,45.532375,-122.671435,316421,24JAN2023:00:00:00,12.0,0.7
3232,244351772,244351809,67602,45.52546,-122.675472,317809,24JAN2023:00:00:00,12.0,1.0
3232,244351668,244351738,63808,45.530978,-122.669172,296968,24JAN2023:00:00:00,12.0,0.8
3232,244351772,244351806,67367,45.535565,-122.67411,316013,24JAN2023:00:00:00,12.0,1.1
4033,244247335,244247393,22616,45.533833,-122.622835,18556,24JAN2023:00:00:00,11.0,1.1
4033,244247335,244247388,22366,45.523078,-122.622972,17342,24JAN2023:00:00:00,11.0,1.0
3232,244351772,244351803,67165,45.55178,-122.689728,313688,24JAN2023:00:00:00,12.0,0.8
4033,244247335,244247389,22436,45.52392,-122.622957,17437,24JAN2023:00:00:00,10.0,1.3
3232,244351772,244351806,67397,45.53198,-122.670977,316477,24JAN2023:00:00:00,12.0,0.8
4033,244247335,244247394,22621,45.533892,-122.622537,18584,24JAN2023:00:00:00,12.0,0.9
3232,244351668,244351737,63668,45.525842,-122.670717,296025,24JAN2023:00:00:00,12.0,0.9
3232,244351668,244351739,63883,45.537023,-122.67445,297760,24JAN2023:00:00:00,12.0,0.9
3232,244351668,244351739,63873,45.536603,-122.674422,297714,24JAN2023:00:00:00,12.0,0.8
4033,244247458,244247487,27800,45.577087,-122.682415,44689,24JAN2023:00:00:00,8.0,0.9
4033,244247458,244247495,28333,45.575158,-122.637895,48691,24JAN2023:00:00:00,8.0,0.9
4033,244247335,244247400,22961,45.545443,-122.620818,20287,24JAN2023:00:00:00,10.0,1.0
4033,244247581,244247665,36563,45.570543,-122.612708,87474,24JAN2023:00:00:00,11.0,1.8
4033,244247458,244247494,28258,45.578473,-122.652475,47496,24JAN2023:00:00:00,9.0,0.9
4033,244247712,244247769,43684,45.543965,-122.621872,118066,24JAN2023:00:00:00,12.0,0.7
4033,244247712,244247770,43774,45.541097,-122.619937,118479,24JAN2023:00:00:00,12.0,0.7
4033,244247581,244247666,36608,45.570913,-122.615478,87692,24JAN2023:00:00:00,11.0,0.9
4033,244247712,244247772,43849,45.537398,-122.619965,118887,24JAN2023:00:00:00,11.0,0.9
4033,244247581,244247584,33381,45.445543,-122.641248,69226,24JAN2023:00:00:00,12.0,0.7
4033,244247712,244247771,43809,45.538077,-122.619982,118812,24JAN2023:00:00:00,12.0,0.9
4033,244247581,244247672,36742,45.576277,-122.642368,89871,24JAN2023:00:00:00,11.0,0.8
4033,244247458,244247564,31385,45.462038,-122.626023,66011,24JAN2023:00:00:00,8.0,1.0
4033,244247839,244247931,50433,45.557063,-122.620425,147974,24JAN2023:00:00:00,11.0,0.9
4033,244247839,244247933,50482,45.561135,-122.620417,148426,24JAN2023:00:00:00,12.0,0.9
4033,244247839,244247936,50647,45.570688,-122.616337,149691,24JAN2023:00:00:00,12.0,0.8
4033,244247993,244248098,59469,45.530708,-122.623063,183133,24JAN2023:00:00:00,10.0,0.9
4033,244247993,244248099,59534,45.526505,-122.623487,183603,24JAN2023:00:00:00,10.0,0.9
4033,244247993,244248112,59824,45.514558,-122.62298,184943,24JAN2023:00:00:00,10.0,0.9
4033,244247993,244248124,60169,45.503118,-122.622703,186203,24JAN2023:00:00:00,11.0,1.0
4033,244248167,244248290,68645,45.586837,-122.737842,224291,24JAN2023:00:00:00,12.0,0.7
4033,244248167,244248291,68699,45.587808,-122.742015,224634,24JAN2023:00:00:00,12.0,0.7
4033,244248167,244248294,68796,45.589122,-122.751172,225391,24JAN2023:00:00:00,12.0,1.0
4033,244247712,244247773,43929,45.535283,-122.619988,119122,24JAN2023:00:00:00,12.0,0.8
4033,244247712,244247776,44099,45.533742,-122.621173,119548,24JAN2023:00:00:00,12.0,0.7
4033,244248167,244248295,68831,45.589635,-122.753038,225551,24JAN2023:00:00:00,12.0,0.7
4033,244248167,244248295,68866,45.5907,-122.755407,225770,24JAN2023:00:00:00,12.0,0.8
4033,244248167,244248296,68896,45.59248,-122.7571,226014,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248521,79873,45.512392,-122.622808,268774,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248522,79898,45.514522,-122.622875,269011,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248522,79908,45.515353,-122.622897,269103,24JAN2023:00:00:00,12.0,0.8
4033,244248469,244248528,80087,45.525633,-122.622963,270244,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248534,80367,45.534892,-122.620318,271578,24JAN2023:00:00:00,12.0,0.7
4033,244247335,244247403,23031,45.548798,-122.620347,20674,24JAN2023:00:00:00,11.0,1.3
